sample_year,stream_name,site_id,abund,density,richness,shannon,simpson,Dhill,mg
2016,Laramie,LR00,52,0.050980392156862744,3,0.8497802778115936,0.5303254437869824,2.640083115920013,0.5061697385546338
2016,Laramie,LR02,87,0.014897260273972602,4,1.0197459809681022,0.5443255383802352,3.4246007935923752,0.6717558714360186
2016,Laramie,LR03,119,0.017296511627906977,6,1.591831102336248,0.7715556810959678,5.470941856287943,1.046216949029845
2016,Laramie,LR04,153,0.0298828125,10,2.019394832474773,0.8475372719894058,8.675020290111743,1.7891086503078806
2016,Laramie,LR05,162,0.026470588235294117,9,1.846608905725209,0.8139003200731596,7.5492579519583405,1.572451797049773
2016,Laramie,LR06,179,0.03891304347826087,13,1.900313732928431,0.7917980088012234,9.623698858262006,2.3133039355755183
2016,Laramie,LR07,234,0.06358695652173914,16,2.2922756590234052,0.8687632405581124,12.72224839099248,2.749608993276734
2016,Laramie,LR08,373,0.038652849740932645,14,1.964341009889028,0.8050083016481108,10.244908547362854,2.1953606080559096
2016,MedBow,MB01,22,0.024444444444444446,3,1.070235949193081,0.6487603305785123,2.964658131831362,0.6470309062973449
2016,MedBow,MB02,45,0.016853932584269662,6,1.419650181114684,0.7032098765432099,5.057943949002385,1.3134865550693153
2016,MedBow,MB03,109,0.03493589743589744,6,1.4901323023370259,0.7442134500462924,5.183116792346908,1.0657917778683677
2016,MedBow,MB04,212,0.019906103286384976,9,1.7360579507979115,0.7725614097543609,7.302734641067977,1.4934884999102989
2016,Sweetwater,SW01,29,0.015846994535519125,3,0.9592548832791166,0.568370986920333,2.8358815215076856,0.5939484087467402
2016,Sweetwater,SW02,73,0.023101265822784812,5,1.119267321043019,0.5783449052355039,3.9698695008819067,0.932301086834037
2016,Sweetwater,SW03,123,0.019838709677419356,5,1.2632101131989595,0.6621719875735343,4.2454824353753065,0.8312233498565618
2016,Sweetwater,SW04,202,0.014377224199288257,9,1.813463868223078,0.8085481815508283,7.407607868503247,1.5070829988315397
2017,Laramie,LR00,33,0.03235294117647059,2,0.47413931305783735,0.2975206611570247,1.8119496634373617,0.28599966750267436
2017,Laramie,LR02,81,0.01386986301369863,4,0.902652155715806,0.538332571254382,3.081939543621562,0.682679419970128
2017,Laramie,LR03,103,0.01497093023255814,6,1.399563147348923,0.7158073333961731,4.876965716838259,1.0788117304588913
2017,Laramie,LR04,222,0.043359375,10,1.8628419694340344,0.7995698401103806,8.13341095389842,1.665840723748913
2017,Laramie,LR05,272,0.044444444444444446,7,1.6285877528712498,0.7901708477508651,5.765575918149477,1.070319631168224
2017,Laramie,LR06,221,0.04804347826086956,11,1.8761206631508514,0.7977314141807088,8.58020444233351,1.8524821412271235
2017,Laramie,LR07,155,0.04211956521739131,11,2.137525476606026,0.8606867845993756,9.768439557602141,1.9827795135597164
2017,Laramie,LR08,463,0.04797927461139896,14,1.9472003303580168,0.8309876894513666,9.40415781707542,2.1180479166705792
2017,Sweetwater,SW01,46,0.025136612021857924,3,0.8508331062622725,0.4905482041587902,2.706619363861917,0.5223785131284484
2017,Sweetwater,SW02,56,0.017721518987341773,6,1.0634849461513662,0.4910714285714286,4.447348401930647,1.2421274919923457
2017,Sweetwater,SW03,132,0.02129032258064516,8,1.5029140607020048,0.7337006427915519,5.957261096638624,1.433603105548908
2017,Sweetwater,SW04,344,0.024483985765124554,10,1.849524380291691,0.8199364521362899,7.6788506226828614,1.5409265844341151
2018,Laramie,LR00,27,0.026470588235294117,2,0.6591525038229908,0.46639231824417005,1.972538941372516,0.30341307554227914
2018,Laramie,LR02,95,0.016267123287671232,4,0.6498393019984533,0.3250969529085873,2.8096066005471623,0.6587793371255578
2018,Laramie,LR03,122,0.017732558139534883,5,1.1051735693000362,0.596882558452029,3.9194041327047286,0.8326358196089251
2018,Laramie,LR04,162,0.031640625,7,1.5498418335760193,0.7395976223136718,5.793608787766283,1.1793388477873297
2018,Laramie,LR05,172,0.028104575163398694,10,2.029611750662447,0.8512033531638723,8.676857974257429,1.7484234398968086
2018,Laramie,LR06,289,0.06282608695652174,5,1.4430490416042068,0.7486979322565582,4.578286678541792,0.7059122477295223
2018,Laramie,LR07,201,0.05461956521739131,9,1.9344175671954547,0.8453256107522091,7.67255845577822,1.5084933147711228
2018,Laramie,LR08,380,0.039378238341968914,18,1.9698864393672435,0.7992936288088643,11.405650965041374,2.8618703530162497
2018,MedBow,MB01,27,0.03,3,0.9051140583904079,0.5651577503429356,2.719377094388493,0.6068261510845583
2018,MedBow,MB02,61,0.022846441947565542,5,0.8241618625789853,0.4079548508465467,3.4318543556947176,0.9730291252330585
2018,MedBow,MB03,142,0.04551282051282051,9,1.7792208822385558,0.7981551279508035,7.30008157226845,1.61426133458987
2018,MedBow,MB04,302,0.028356807511737088,10,1.8310341752523231,0.7920047366343581,8.118530766312144,1.5760642720090965
